File,URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN m²,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/d1e66cb9/koningin-wilhelminaplein,Apartment Koningin Wilhelminaplein,1062 KS (Westlandgracht),2150,90,3,Furnished,kitchen is fully equipped and nicely finished. From the lounge you have access to the balcony. Through the large windows there is much light in the apartment and you get a feeling of space.,3 weeks,Not available to book,Specifics are not available,Good,270,Apartment,Existing building,2012,in a residential area,2,1,1,Present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/d1e66cb9/amsterdam/skyreach-stay/request-details,2022-08-03 17:22:16
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/55e136f3/peelstraat,Apartment Peelstraat 44,1079 RN (Scheldebuurt),1760,92,3,Upholstered,MINIMUM AGE 55 + | SENIOR CITIZEN| CARE INDICATION,3+ months,Not available to book,Accessible for seniors,Excellent,300,Apartment,Existing building,2012,Location type is not available,2,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/55e136f3/amsterdam/house-of-rentals/request-details,2022-08-03 17:25:04
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/4050e6a2/kuipersstraat,Apartment Kuipersstraat 169,1073 ER (Nieuwe Pijp),2500,76,3,Furnished,"Bright, spacious, exceptionally luxurious, fully furnished and upholstered apartment on a very strategic location in 'De Pijp' in Amsterdam. If required also a secured parking spot can be rented as an extra. This 2 bedroom apartment of over 76 sqm. is looking for a tenant that will treat the apartment in the same way an owner would do. ",2 weeks,consultation,Specifics are not available,Excellent,277,Apartment,Existing building,2012,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,"Parkeerkelder, parkeerplaats",Yes,https://www.pararius.com/contact/4050e6a2/amsterdam/020-makelaars-amsterdam/request-details,2022-08-03 17:26:32
amsterdam_6.csv,https://www.pararius.com/apartment-for-rent/amsterdam/fec5cae8/willem-frederik-hermansstraat,Apartment Willem Frederik Hermansstraat 9,1011 DG (Nieuwmarkt/Lastage),2500,86,3,Furnished,"Spacious, modern and centrally located apartment (approx. 86sqm) on the 2nd floor with a view over the green, planted roof and water on the side. ",2 weeks,01-09-2022,Specifics are not available,Upkeep is not available,215,Apartment,Existing building,2012,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/fec5cae8/amsterdam/listings/request-details,2022-08-08
amsterdam_7.csv,https://www.pararius.com/house-for-rent/amsterdam/ed7a544f/jaagpad,House Jaagpad 31,1059 BP (Hoofddorppleinbuurt),5000,200,6,Furnished,"Spacious and detached water villa, with fabulous views, a private berth for a boat and parking permit, is located in a super location in Amsterdam Oud-Zuid.",09-08-2022,01-10-2022,Specifics are not available,Good,500,House,Existing building,2012,Location type is not available,4,3,2,Present,Present,Present,Aangebouwd hout,No,https://www.pararius.com/contact/ed7a544f/amsterdam/ehr-amsterdam-2/request-details,2022-08-09
amsterdam_21.csv,https://www.pararius.com/apartment-for-rent/amsterdam/e444d642/ijdok,Apartment IJdok,1013 MM (Haarlemmerbuurt),3500,140,3,Furnished,Go to hausing . com to schedule instantly your viewing appointment and to watch the video tour. ,22-08-2022,01-09-2022,Specifics are not available,Good,410,Apartment,Existing building,2012,Location type is not available,2,1,1,Details of balcony is not available,Not present,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/e444d642/amsterdam/hausing/request-details,25-08-2022
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/f0034dc5/maarten-jansz-kosterstraat,Apartment Maarten Jansz. Kosterstraat,1017 VX (De Weteringschans),3150,120,4,Upholstered,Lovely 2 floor unfurnished apartment. ,01-08-2022,01-09-2022,Specifics are not available,Excellent,312,Apartment,Existing building,2013,Location type is not available,3,2,2,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/f0034dc5/amsterdam/brixt/request-details,2022-08-03 17:18:45
amsterdam_8.csv,https://www.pararius.com/apartment-for-rent/amsterdam/2445adb3/makassarstraat,Apartment Makassarstraat,1095 TE (Indische Buurt Oost),2250,85,3,Furnished, ,10-08-2022,10-09-2022,Specifics are not available,Excellent,240,Apartment,Existing building,2013,Location type is not available,2,1,1,Details of balcony is not available,Present (49 m²),Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/2445adb3/amsterdam/housing-experts/request-details,2022-08-10
amsterdam_21.csv,https://www.pararius.com/apartment-for-rent/amsterdam/ff460d1d/jan-evertsenstraat,Apartment Jan Evertsenstraat 649,1061 XZ (Overtoomse Veld),1850,95,3,Furnished,"Light and spacious (95 M2) 2 bedroom apartment with balcony, garage, bike storage, new communal garden en a unique view from the 14th floor in this new modern building.",24-08-2022,Not available to book,Specifics are not available,Excellent,228,Apartment,Existing building,2013,Location type is not available,2,Number of bathrooms is not available,1,Not present,Not present,Present,Inpandig,Yes,https://www.pararius.com/contact/ff460d1d/amsterdam/a1-executive-estate/request-details,25-08-2022
amsterdam_1.csv,https://www.pararius.com/house-for-rent/amsterdam/cbb7d99d/g-j-scheurleerweg,House G.J. Scheurleerweg 70,1022 KL (Elzenhagen),2750,118,5,Furnished,"Practical, fully furnished and spacious 5-room family house from 2014 of approx. 120m2 with sunny garden and parking for 2 cars.",22-07-2022,01-09-2022,Specifics are not available,Good,380,House,Existing building,2014,Location type is not available,4,1,3,Not present,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/cbb7d99d/amsterdam/parker-williams-real-estate-services/request-details,2022-08-03 17:20:52
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/3b9a2111/rosy-wertheimstraat,Apartment Rosy Wertheimstraat,1082 MZ (Zuidas),1875,45,1,Furnished,"Modern and bright studio apartment (approx. 44 m2), with a corresponding parking spot under the building, in the luxurious apartment building Opzuid at the very popular and strategically located Zuidas. The apartment is offered fully furnished. The rental price is excluding electricity, water and service costs of €30,- per month. ",2 weeks,04-08-2022,"Accessible for disabled people, accessible for seniors",Excellent,165,Apartment,Existing building,2014,Location type is not available,Number of bedrooms is not available,1,1,Present,Details of garden is not available,Present,Box,Yes,https://www.pararius.com/contact/3b9a2111/amsterdam/eefje-voogd-makelaardij-2/request-details,2022-08-03 17:21:48
amsterdam_5.csv,https://www.pararius.com/apartment-for-rent/amsterdam/42cb783b/rosy-wertheimstraat,Apartment Rosy Wertheimstraat 95,1082 MZ (Zuidas),2950,72,2,Furnished,Furnished 1-bedroom apartment (72m2) with spacious balcony located on the 7th floor (top floor) of apartment complex 'The Gustav' in Rosy Wertheimstraat! (South Axis).,06-08-2022,Not available to book,Specifics are not available,Upkeep is not available,210,Apartment,Existing building,2014,Location type is not available,1,1,1,Present,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/42cb783b/amsterdam/kk-amsterdam/request-details,2022-08-07
